[]
"['U72900KA2021PTC152528', 'CLEVRLYIO TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC094025', 'POZIBILITY TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2022PTC164359', 'SKILLETICS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC129947', 'GOMATE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC098995', 'TANGO NETWORKS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC132823', 'SYNXGEN TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC152259', 'MIYANA CYBER INNOVATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72200KA2001PTC039342', 'SIFFYNET SOULTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2023PTC170662', 'DATESPEC TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC169229', 'FRAGILITI NARRATIVES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2014PTC075325', 'BLUEROCK ENTERTAINMENT PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC167050', 'AXEXA TECHNOLOGY SOLUTION PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC099575', 'COMUNISAFE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2020PTC137786', 'QUBIQLE TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2021PTC151120', 'BROZWEGA SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2019PTC121292', 'SKAYA TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2007PTC158284', 'VNURTURE HEALTHCARE SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
