[]
"['U72900PN2015PTC156120', 'PROMETTEUR SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC215164', 'OPENBOTS TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC195358', 'LAKEDGE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC213560', 'ADWAITRAJ TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC188929', 'TRIKAY E SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC187371', 'ANTRIXUM SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2013PTC147786', 'AARNA TECHN0LOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC204505', 'INDWOKE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2005PTC020933', 'PERFORMIX SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC165623', 'YAVIN TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC190331', 'MTDS TECHNOLOGY & RESEARCH DEVELOPMENT LAB PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216632', 'LEADOZIUM MARTECH SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2022PTC212931', 'SYNKROSYS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC212961', 'VENTOSYS SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC213112', 'PRIC TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2022PTC213258', 'SOLARINO GRAPHENE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72500PN2018PTC176502', 'N.B. AGROSOFT PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC207638', 'TECHFLAKES DIGITAL PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184930', 'REVIEWNB TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC207468', 'REFORMUP SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC195403', 'GLASSBERRY IT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72900PN2020PTC190868', 'TECHPIXELS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216967', 'QUANTUMSKY INFO PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216909', 'LIAISONIT CONSULTING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC168731', 'S.Y. INFOTECH SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN1991PTC063064', 'VIVEK COMPUTERS PVT LTD', 'Pune', 'Active']"
"['U72900PN2021PTC198134', 'NUYKA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC153046', 'SWAMIRAJ TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2012PTC142729', 'KLISMA E-SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72100PN2010PTC136396', 'REFLECTICA SOFTWARE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2002PTC017526', 'PLM INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72500PN2021PTC198021', 'KIONKAP IT SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC213054', 'ANIMERA EDUTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184907', 'CLOUDVEDA TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2017PTC169850', 'INFINTUS INNOVATIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC165873', 'ARCASAN SOFTWARE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2000PTC014604', 'ASCENT INTELLIMATION PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC151237', 'HEXANIKA SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC202238', 'LORDS SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC193642', 'FARMERS ALLIANCE FOR BUSINESS PRIVATE LIMITED', 'Pune', 'Active']"
