[]
"['U72900WB2021PTC245067', 'FRESTS DEALERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72500WB2020PTC236021', 'FCOSAI PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2014PTC202205', 'PROPERWEB TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245058', 'AMBJENT TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245322', 'RUMMYCORNER TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2016PTC216189', 'LAVANAYA TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245407', 'PERACKING ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2016PTC209892', 'SUKANTA INFOCOM PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC232340', 'IICHA PROJECTS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC249804', 'QUANTUM SPEED IT PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC234325', 'AMMURE ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC251425', 'GEOFORCE VENTURES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC239605', 'TECHPORIUM INFOSOLUTION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC247074', 'WESVY SOFTWARE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC243822', 'AL VARISO INFORMATION TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC242647', 'ROADKINGS INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC233042', 'TECHNEXIN SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC230242', 'WELLDREAM ASSOCIATE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2007PTC231644', 'WINDSOR SOFTWARE PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72900WB2019PTC229686', 'NOVACLE TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2016PTC218183', 'EDWAVE TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245060', 'CRAFTUN ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC241792', 'MINDHIGHWAY TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC205665', 'EPISTEL SOFT SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245156', 'WARKERS TRADING PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245062', 'CRUSINE TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245211', 'PELLETER TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC236114', 'SRIJON PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2011PTC158682', 'ROYAL TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2013PTC191813', 'MADAN AND SARAF INFOCOMMERCIAL PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2012PTC186061', 'COURTEOUS WEBNET PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2021PTC245210', 'MADHUBAN SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC206866', 'PROZOR TECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72400WB2001PTC092816', 'STONE SOLAR PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2015PTC208241', 'S H MUMTAZUDDIN COMMERCIAL PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC237928', 'ARTTREUM TALENT SPACE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC239591', 'ALTIS BUSINESS SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2018PTC224691', 'RASAFA TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC256388', 'RXEFY TECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC258242', 'CYMATION INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC257075', 'SHREE SAMARTH TECHNO TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2008PTC130529', 'SOLIX COMPUTER PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC231186', 'SEADG TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC249702', 'WNTEL INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2014PTC200394', 'SASLAB TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2004PTC098204', 'SYNTECH HARDWARE SUPPORTS & SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2018PTC227921', 'INLEX INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC235266', 'ZORYA SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245412', 'STREWERT TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72900WB2023PTC259449', 'ACUITY ACCOUNTING & ANALYTICS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC258834', 'SOLRESOL TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC235614', 'SORKED TRADELINK PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2012PTC184672', 'LEGACY TELESALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC255698', 'BENGALPRAKASH TECH SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2011PTC162171', 'SANGKAJ INFOCOM PRIVATE LIMITED', 'Kolkata', 'Active']"
