[]
"['U72900TG2020PTC141946', 'HETHVIK TECHSOL SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC168102', 'IOTE TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC111842', 'SMARTOUS CONSULTING SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC136664', 'PIATRIKA BIOSYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC152373', 'ALOKYA SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72300TG2013PTC086651', 'ECLATURE TECHNOLOGIES (INDIA) PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC113048', 'GOETEC PRAKASH TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
[]
"['U72900TG2018PTC128376', 'HOPNTRACK TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2016PTC103614', 'V T MEDIA AND SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1996PTC024782', 'SIRITEL SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC133592', 'QUANTICA COMPUTACAO PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC110646', 'ZRANGA SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC137148', 'WETHENEXT TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC112506', 'CEDEIT PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC128545', 'ALTEZZA TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC127284', 'APPEQUAL E-COMMERCE PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2015PTC097573', 'ZNALYTICS BUSINESS SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC133136', 'MELIORARE MACHINERY PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC158430', 'APPSARCH IT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC151525', 'TAYSEER TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC159331', 'TECHNOGEEK COLLABORATIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC143515', 'MEVATHE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC148323', 'NEXTGEN INFOSOFTWARE CONSULTANCY PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC144260', 'IMAYA TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC131844', 'ADYAHA WAYS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC127971', 'PINGLALBERT TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC156545', 'MYSAFE CITIZEN PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134879', 'APFELTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC131359', 'SREESAI MADHU IT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC159123', 'COGNOLOCUS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2008PTC062375', 'AXIS MOBILE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC135833', 'RB IT CONSULTING SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1992PTC014404', 'PEP SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC126691', 'LMN SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2017PTC117538', 'HIVEBOX SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC156870', 'PRACTWISE CONSULTING PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2004PTC043843', 'COMMUNITYFORCE SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
[]
"['U72900TG2021PTC152923', 'CORE METRIC AI PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2020PTC142580', 'JSON TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC150422', 'SECORCH TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2005PTC046423', 'EXCEL SOFT SERVICES (INDIA) PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC131216', 'WIZCONSOL IT SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG1994PTC018024', 'CANAAN GRAPHICS PVT LTD', 'Hyderabad', 'Active']"
"['U72200TG2021PTC153611', 'POOLR TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC155909', 'UNITED FARM AGRI IT PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC155227', 'TECHXACT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1996PTC023841', 'A. T. SOFTWARE PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC148387', 'ABVV INFOTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC160708', 'KARSCONNECT PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72501TG2016PTC109769', 'VARSITO SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC132822', 'TRIWIT INNOVATIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC155350', 'VASYSTRON TECKNOWLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134365', 'AUXILIUM INTERNATIONAL PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC113485', 'XL SOFTEK INDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC142609', 'AEROENI PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72100TG2019PTC134521', 'HTML KR TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2017PTC117238', 'WIZZTIME SOFTWARE PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72502TG2020PTC142349', 'APKIBAZAR PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC129404', 'ORCATECH SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC152236', 'FIGDER ENTERPRISES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC149492', 'WISE SCIENCE HEALTHCARE PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134209', 'RUN PLATFORM PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC144831', 'TEKITO SOFTWARE CONSULTANTS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2017PTC117970', 'ALTHION TECH INNOVATIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC112531', 'PROTEUS INFOTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
